Date,Time,Name,Open,High,Low,Close,Volume
2024-10-26,09:30:00,AAPL,550.91,555.58,547.69,551.84,7321
2024-10-26,09:30:00,AAPL,543.97,546.31,541.3,542.96,4051
2024-10-26,09:30:03,AAPL,561.77,565.13,558.75,562.76,3754
2024-10-26,09:30:03,AAPL,534.59,539.31,529.97,535.99,3283
2024-10-26,09:30:06,AAPL,503.76,507.26,502.22,502.77,3955
2024-10-26,09:30:07,AAPL,564.86,569.71,560.53,569.37,2483
2024-10-26,09:30:10,AAPL,596.5,597.09,595.75,595.78,9033
2024-10-26,09:30:13,AAPL,513.25,514.05,509.81,511.21,1831
2024-10-26,09:30:15,AAPL,597.24,601.06,596.31,598.08,5186
2024-10-26,09:30:16,AAPL,517.86,518.98,513.16,514.64,9177
2024-10-26,09:30:19,AAPL,505.09,507.25,504.26,506.15,5287
2024-10-26,09:30:20,AAPL,563.91,564.62,560.85,563.8,8465
2024-10-26,09:30:23,AAPL,523.52,527.56,518.78,523.4,7864
2024-10-26,09:30:25,AAPL,571.48,573.56,566.54,571.63,2244
2024-10-26,09:30:27,AAPL,598.54,600.18,597.28,598.71,2731
2024-10-26,09:30:29,AAPL,596.18,600.82,594.5,596.56,6765
2024-10-26,09:30:31,AAPL,546.28,549.82,545.1,547.25,2606
2024-10-26,09:30:35,AAPL,512.46,513.7,511.56,513.28,8674
2024-10-26,09:30:38,AAPL,507.17,509.82,506.47,509.49,1940
2024-10-26,09:30:41,AAPL,540.72,544.95,539.26,544.44,6345
2024-10-26,09:30:42,AAPL,528.05,531.02,527.29,528.13,3984
2024-10-26,09:30:44,AAPL,525.26,529.15,524.52,527.09,6523
2024-10-26,09:30:46,AAPL,513.72,516.08,511.15,512.94,1206
2024-10-26,09:30:49,AAPL,524.76,525.55,522.47,525.4,1054
2024-10-26,09:30:51,AAPL,591.76,595.07,590.5,592.89,6607
2024-10-26,09:30:52,AAPL,563.01,564.01,561.58,563.75,4539
2024-10-26,09:30:54,AAPL,545.0,545.91,540.56,542.26,2829
